alpha cl cd cm:
 -28.0 -0.54292  0.28464  0.10394
 -27.0 -0.47519  0.25681  0.09407
 -26.0 -0.40543  0.23020  0.08534
 -25.0 -0.33391  0.20483  0.07783
 -24.0 -0.26091  0.18071  0.07159
 -23.0 -0.18673  0.15786  0.06665
 -22.0 -0.11165  0.13630  0.06306
 -21.0 -0.03598  0.11606  0.06084
 -20.0  0.04000  0.09714  0.06000
 -19.9  0.03457  0.09532  0.05974
 -19.8  0.02919  0.09351  0.05948
 -19.7  0.02386  0.09172  0.05922
 -19.6  0.01858  0.08994  0.05896
 -19.5  0.01336  0.08818  0.05870
 -19.4  0.00818  0.08643  0.05844
 -19.3  0.00306  0.08469  0.05819
 -19.2 -0.00201  0.08296  0.05793
 -19.1 -0.00702  0.08125  0.05767
 -19.0 -0.01199  0.07956  0.05741
 -18.9 -0.01689  0.07787  0.05715
 -18.8 -0.02174  0.07620  0.05689
 -18.7 -0.02654  0.07455  0.05663
 -18.6 -0.03128  0.07290  0.05637
 -18.5 -0.03596  0.07127  0.05611
 -18.4 -0.04058  0.06966  0.05585
 -18.3 -0.04514  0.06806  0.05559
 -18.2 -0.04965  0.06647  0.05533
 -18.1 -0.05409  0.06489  0.05507
 -18.0 -0.05847  0.06333  0.05481
 -17.9 -0.06279  0.06178  0.05456
 -17.8 -0.06705  0.06025  0.05430
 -17.7 -0.07124  0.05873  0.05404
 -17.6 -0.07537  0.05723  0.05378
 -17.5 -0.07943  0.05573  0.05352
 -17.4 -0.08343  0.05425  0.05326
 -17.3 -0.08735  0.05279  0.05300
 -17.2 -0.09121  0.05134  0.05274
 -17.1 -0.09500  0.04990  0.05248
 -17.0 -0.09871  0.04848  0.05222
 -16.9 -0.10235  0.04707  0.05196
 -16.8 -0.10591  0.04567  0.05170
 -16.7 -0.10940  0.04429  0.05144
 -16.6 -0.11281  0.04292  0.05119
 -16.5 -0.11614  0.04157  0.05093
 -16.4 -0.11939  0.04023  0.05067
 -16.3 -0.12255  0.03890  0.05041
 -16.2 -0.12563  0.03759  0.05015
 -16.1 -0.12862  0.03629  0.04989
 -16.0 -0.13151  0.03501  0.04963
 -15.9 -0.13432  0.03374  0.04937
 -15.8 -0.13702  0.03248  0.04911
 -15.7 -0.13962  0.03124  0.04885
 -15.6 -0.14211  0.03001  0.04859
 -15.5 -0.14449  0.02879  0.04833
 -15.4 -0.14676  0.02759  0.04807
 -15.3 -0.14891  0.02641  0.04781
 -15.2 -0.15092  0.02523  0.04756
 -15.1 -0.15279  0.02408  0.04730
 -15.0 -0.15452  0.02293  0.04704
 -14.9 -0.15608  0.02180  0.04678
 -14.8 -0.15745  0.02068  0.04652
 -14.7 -0.15861  0.01958  0.04626
 -14.6 -0.15951  0.01849  0.04600
 -14.5 -0.16000  0.01742  0.04574
 -14.4 -0.15890  0.01741  0.04548
 -14.3 -0.15779  0.01741  0.04522
 -14.2 -0.15669  0.01740  0.04496
 -14.1 -0.15559  0.01740  0.04470
 -14.0 -0.15448  0.01739  0.04444
 -13.9 -0.15338  0.01739  0.04419
 -13.8 -0.15228  0.01738  0.04393
 -13.7 -0.15117  0.01738  0.04367
 -13.6 -0.15007  0.01737  0.04341
 -13.5 -0.14897  0.01736  0.04315
 -13.4 -0.14786  0.01736  0.04289
 -13.3 -0.14676  0.01735  0.04263
 -13.2 -0.14566  0.01735  0.04237
 -13.1 -0.14455  0.01734  0.04211
 -13.0 -0.14345  0.01734  0.04185
 -12.9 -0.14234  0.01733  0.04159
 -12.8 -0.14124  0.01733  0.04133
 -12.7 -0.14014  0.01732  0.04107
 -12.6 -0.13903  0.01732  0.04081
 -12.5 -0.13793  0.01731  0.04056
 -12.4 -0.13683  0.01731  0.04030
 -12.3 -0.13572  0.01730  0.04004
 -12.2 -0.13462  0.01730  0.03978
 -12.1 -0.13352  0.01729  0.03952
 -12.0 -0.13241  0.01729  0.03926
 -11.9 -0.13131  0.01728  0.03900
 -11.8 -0.13021  0.01728  0.03874
 -11.7 -0.12910  0.01727  0.03848
 -11.6 -0.12800  0.01727  0.03822
 -11.5 -0.12690  0.01726  0.03796
 -11.4 -0.12579  0.01726  0.03770
 -11.3 -0.12469  0.01726  0.03744
 -11.2 -0.12359  0.01725  0.03719
 -11.1 -0.12248  0.01725  0.03693
 -11.0 -0.12138  0.01724  0.03667
 -10.9 -0.12028  0.01724  0.03641
 -10.8 -0.11917  0.01723  0.03615
 -10.7 -0.11807  0.01723  0.03589
 -10.6 -0.11697  0.01722  0.03563
 -10.5 -0.11586  0.01722  0.03537
 -10.4 -0.11476  0.01722  0.03511
 -10.3 -0.11366  0.01721  0.03485
 -10.2 -0.11255  0.01721  0.03459
 -10.1 -0.11145  0.01720  0.03433
 -10.0 -0.11034  0.01720  0.03407
  -9.9 -0.10924  0.01720  0.03381
  -9.8 -0.10814  0.01719  0.03356
  -9.7 -0.10703  0.01719  0.03330
  -9.6 -0.10593  0.01718  0.03304
  -9.5 -0.10483  0.01718  0.03278
  -9.4 -0.10372  0.01718  0.03252
  -9.3 -0.10262  0.01717  0.03226
  -9.2 -0.10152  0.01717  0.03200
  -9.1 -0.10041  0.01717  0.03174
  -9.0 -0.09931  0.01716  0.03148
  -8.9 -0.09821  0.01716  0.03122
  -8.8 -0.09710  0.01715  0.03096
  -8.7 -0.09600  0.01715  0.03070
  -8.6 -0.09490  0.01715  0.03044
  -8.5 -0.09379  0.01714  0.03019
  -8.4 -0.09269  0.01714  0.02993
  -8.3 -0.09159  0.01714  0.02967
  -8.2 -0.09048  0.01713  0.02941
  -8.1 -0.08938  0.01713  0.02915
  -8.0 -0.08828  0.01713  0.02889
  -7.9 -0.08717  0.01712  0.02863
  -7.8 -0.08607  0.01712  0.02837
  -7.7 -0.08497  0.01712  0.02811
  -7.6 -0.08386  0.01712  0.02785
  -7.5 -0.08276  0.01711  0.02759
  -7.4 -0.08166  0.01711  0.02733
  -7.3 -0.08055  0.01711  0.02707
  -7.2 -0.07945  0.01710  0.02681
  -7.1 -0.07834  0.01710  0.02656
  -7.0 -0.07724  0.01710  0.02630
  -6.9 -0.07614  0.01710  0.02604
  -6.8 -0.07503  0.01709  0.02578
  -6.7 -0.07393  0.01709  0.02552
  -6.6 -0.07283  0.01709  0.02526
  -6.5 -0.07172  0.01708  0.02500
  -6.4 -0.07062  0.01708  0.02462
  -6.3 -0.06952  0.01708  0.02423
  -6.2 -0.06841  0.01708  0.02385
  -6.1 -0.06731  0.01707  0.02346
  -6.0 -0.06621  0.01707  0.02308
  -5.9 -0.06510  0.01707  0.02269
  -5.8 -0.06400  0.01707  0.02231
  -5.7 -0.06290  0.01706  0.02192
  -5.6 -0.06179  0.01706  0.02154
  -5.5 -0.06069  0.01706  0.02115
  -5.4 -0.05959  0.01706  0.02077
  -5.3 -0.05848  0.01706  0.02038
  -5.2 -0.05738  0.01705  0.02000
  -5.1 -0.05628  0.01705  0.01962
  -5.0 -0.05517  0.01705  0.01923
  -4.9 -0.05407  0.01705  0.01885
  -4.8 -0.05297  0.01705  0.01846
  -4.7 -0.05186  0.01704  0.01808
  -4.6 -0.05076  0.01704  0.01769
  -4.5 -0.04966  0.01704  0.01731
  -4.4 -0.04855  0.01704  0.01692
  -4.3 -0.04745  0.01704  0.01654
  -4.2 -0.04634  0.01704  0.01615
  -4.1 -0.04524  0.01703  0.01577
  -4.0 -0.04414  0.01703  0.01538
