alpha cl cd cm:
 -66.0 -0.86948  1.17798  0.35745
 -65.0 -0.89627  1.16905  0.35958
 -64.0 -0.92197  1.15977  0.36164
 -63.0 -0.94655  1.15014  0.36363
 -62.0 -0.96997  1.14015  0.36552
 -61.0 -0.99222  1.12982  0.36730
 -60.0 -1.01325  1.11914  0.36896
 -59.0 -1.03305  1.10812  0.37048
 -58.0 -1.05159  1.09676  0.37184
 -57.0 -1.06885  1.08507  0.37304
 -56.0 -1.08481  1.07305  0.37405
 -55.0 -1.09944  1.06070  0.37487
 -54.0 -1.11274  1.04803  0.37548
 -53.0 -1.12468  1.03504  0.37587
 -52.0 -1.13525  1.02174  0.37602
 -51.0 -1.14443  1.00812  0.37592
 -50.0 -1.15223  0.99420  0.37556
 -49.0 -1.15861  0.97997  0.37493
 -48.0 -1.16359  0.96544  0.37401
 -47.0 -1.16715  0.95063  0.37281
 -46.0 -1.16929  0.93552  0.37130
 -45.0 -1.17000  0.92012  0.36948
 -44.0 -1.16761  0.87564  0.35526
 -43.0 -1.16046  0.83192  0.34078
 -42.0 -1.14857  0.78900  0.32610
 -41.0 -1.13199  0.74690  0.31125
 -40.0 -1.11078  0.70566  0.29631
 -39.0 -1.08503  0.66531  0.28133
 -38.0 -1.05484  0.62588  0.26639
 -37.0 -1.02033  0.58739  0.25158
 -36.0 -0.98164  0.54988  0.23697
 -35.0 -0.93891  0.51337  0.22265
 -34.0 -0.89232  0.47789  0.20871
 -33.0 -0.84205  0.44346  0.19524
 -32.0 -0.78830  0.41011  0.18234
 -31.0 -0.73128  0.37786  0.17009
 -30.0 -0.67122  0.34675  0.15858
 -29.0 -0.60835  0.31678  0.14790
 -28.0 -0.54292  0.28799  0.13812
 -27.0 -0.47519  0.26039  0.12933
 -26.0 -0.40543  0.23402  0.12158
 -25.0 -0.33391  0.20888  0.11495
 -24.0 -0.26091  0.18499  0.10949
 -23.0 -0.18673  0.16238  0.10523
 -22.0 -0.11165  0.14107  0.10221
 -21.0 -0.03598  0.12106  0.10047
 -20.0  0.04000  0.10238  0.10000
 -19.9  0.03457  0.10059  0.09961
 -19.8  0.02919  0.09881  0.09923
 -19.7  0.02386  0.09704  0.09884
 -19.6  0.01858  0.09529  0.09846
 -19.5  0.01336  0.09354  0.09807
 -19.4  0.00818  0.09182  0.09769
 -19.3  0.00306  0.09010  0.09730
 -19.2 -0.00201  0.08840  0.09692
 -19.1 -0.00702  0.08672  0.09653
 -19.0 -0.01199  0.08505  0.09615
 -18.9 -0.01689  0.08339  0.09576
 -18.8 -0.02174  0.08174  0.09538
 -18.7 -0.02654  0.08011  0.09499
 -18.6 -0.03128  0.07849  0.09461
 -18.5 -0.03596  0.07688  0.09422
 -18.4 -0.04058  0.07529  0.09384
 -18.3 -0.04514  0.07372  0.09345
 -18.2 -0.04965  0.07215  0.09307
 -18.1 -0.05409  0.07060  0.09268
 -18.0 -0.05847  0.06906  0.09230
 -17.9 -0.06279  0.06754  0.09191
 -17.8 -0.06705  0.06603  0.09153
 -17.7 -0.07124  0.06454  0.09114
 -17.6 -0.07537  0.06306  0.09076
 -17.5 -0.07943  0.06159  0.09037
 -17.4 -0.08343  0.06013  0.08999
 -17.3 -0.08735  0.05869  0.08960
 -17.2 -0.09121  0.05727  0.08921
 -17.1 -0.09500  0.05585  0.08883
 -17.0 -0.09871  0.05446  0.08844
 -16.9 -0.10235  0.05307  0.08806
 -16.8 -0.10591  0.05170  0.08767
 -16.7 -0.10940  0.05034  0.08729
 -16.6 -0.11281  0.04900  0.08690
 -16.5 -0.11614  0.04767  0.08652
 -16.4 -0.11939  0.04635  0.08613
 -16.3 -0.12255  0.04505  0.08575
 -16.2 -0.12563  0.04376  0.08536
 -16.1 -0.12862  0.04249  0.08498
 -16.0 -0.13151  0.04123  0.08459
 -15.9 -0.13432  0.03998  0.08421
 -15.8 -0.13702  0.03875  0.08382
 -15.7 -0.13962  0.03753  0.08344
 -15.6 -0.14211  0.03633  0.08305
 -15.5 -0.14449  0.03514  0.08267
 -15.4 -0.14676  0.03396  0.08228
 -15.3 -0.14891  0.03280  0.08190
 -15.2 -0.15092  0.03165  0.08151
 -15.1 -0.15279  0.03052  0.08113
 -15.0 -0.15452  0.02940  0.08074
 -14.9 -0.15608  0.02829  0.08036
 -14.8 -0.15745  0.02720  0.07997
 -14.7 -0.15861  0.02612  0.07959
 -14.6 -0.15951  0.02506  0.07920
 -14.5 -0.16000  0.02401  0.07881
 -14.4 -0.15890  0.02401  0.07843
 -14.3 -0.15779  0.02400  0.07804
 -14.2 -0.15669  0.02400  0.07766
 -14.1 -0.15559  0.02400  0.07727
 -14.0 -0.15448  0.02400  0.07689
 -13.9 -0.15338  0.02399  0.07650
 -13.8 -0.15228  0.02399  0.07612
 -13.7 -0.15117  0.02399  0.07573
 -13.6 -0.15007  0.02398  0.07535
 -13.5 -0.14897  0.02398  0.07496
 -13.4 -0.14786  0.02398  0.07458
 -13.3 -0.14676  0.02398  0.07419
 -13.2 -0.14566  0.02397  0.07381
 -13.1 -0.14455  0.02397  0.07342
 -13.0 -0.14345  0.02397  0.07304
 -12.9 -0.14234  0.02397  0.07265
 -12.8 -0.14124  0.02396  0.07227
 -12.7 -0.14014  0.02396  0.07188
 -12.6 -0.13903  0.02396  0.07150
 -12.5 -0.13793  0.02396  0.07111
 -12.4 -0.13683  0.02395  0.07073
 -12.3 -0.13572  0.02395  0.07034
 -12.2 -0.13462  0.02395  0.06996
 -12.1 -0.13352  0.02395  0.06957
 -12.0 -0.13241  0.02394  0.06919
 -11.9 -0.13131  0.02394  0.06880
 -11.8 -0.13021  0.02394  0.06841
 -11.7 -0.12910  0.02394  0.06803
 -11.6 -0.12800  0.02393  0.06764
 -11.5 -0.12690  0.02393  0.06726
 -11.4 -0.12579  0.02393  0.06687
 -11.3 -0.12469  0.02393  0.06649
 -11.2 -0.12359  0.02393  0.06610
 -11.1 -0.12248  0.02392  0.06572
 -11.0 -0.12138  0.02392  0.06533
 -10.9 -0.12028  0.02392  0.06495
 -10.8 -0.11917  0.02392  0.06456
 -10.7 -0.11807  0.02391  0.06418
 -10.6 -0.11697  0.02391  0.06379
 -10.5 -0.11586  0.02391  0.06341
 -10.4 -0.11476  0.02391  0.06302
 -10.3 -0.11366  0.02391  0.06264
 -10.2 -0.11255  0.02390  0.06225
 -10.1 -0.11145  0.02390  0.06187
 -10.0 -0.11034  0.02390  0.06148
  -9.9 -0.10924  0.02390  0.06110
  -9.8 -0.10814  0.02390  0.06071
  -9.7 -0.10703  0.02389  0.06033
  -9.6 -0.10593  0.02389  0.05994
  -9.5 -0.10483  0.02389  0.05956
  -9.4 -0.10372  0.02389  0.05917
  -9.3 -0.10262  0.02389  0.05879
  -9.2 -0.10152  0.02388  0.05840
  -9.1 -0.10041  0.02388  0.05801
  -9.0 -0.09931  0.02388  0.05763
  -8.9 -0.09821  0.02388  0.05724
  -8.8 -0.09710  0.02388  0.05686
  -8.7 -0.09600  0.02388  0.05647
  -8.6 -0.09490  0.02387  0.05609
  -8.5 -0.09379  0.02387  0.05570
  -8.4 -0.09269  0.02387  0.05532
  -8.3 -0.09159  0.02387  0.05493
  -8.2 -0.09048  0.02387  0.05455
  -8.1 -0.08938  0.02387  0.05416
  -8.0 -0.08828  0.02386  0.05378
  -7.9 -0.08717  0.02386  0.05339
  -7.8 -0.08607  0.02386  0.05301
  -7.7 -0.08497  0.02386  0.05262
  -7.6 -0.08386  0.02386  0.05224
  -7.5 -0.08276  0.02386  0.05185
  -7.4 -0.08166  0.02385  0.05147
  -7.3 -0.08055  0.02385  0.05108
  -7.2 -0.07945  0.02385  0.05070
  -7.1 -0.07834  0.02385  0.05031
  -7.0 -0.07724  0.02385  0.04993
  -6.9 -0.07614  0.02385  0.04954
  -6.8 -0.07503  0.02385  0.04916
  -6.7 -0.07393  0.02384  0.04877
  -6.6 -0.07283  0.02384  0.04839
  -6.5 -0.07172  0.02384  0.04800
  -6.4 -0.07062  0.02384  0.04726
  -6.3 -0.06952  0.02384  0.04652
  -6.2 -0.06841  0.02384  0.04578
  -6.1 -0.06731  0.02384  0.04505
  -6.0 -0.06621  0.02384  0.04431
  -5.9 -0.06510  0.02383  0.04357
  -5.8 -0.06400  0.02383  0.04283
  -5.7 -0.06290  0.02383  0.04209
  -5.6 -0.06179  0.02383  0.04135
  -5.5 -0.06069  0.02383  0.04062
  -5.4 -0.05959  0.02383  0.03988
  -5.3 -0.05848  0.02383  0.03914
  -5.2 -0.05738  0.02383  0.03840
  -5.1 -0.05628  0.02383  0.03766
  -5.0 -0.05517  0.02383  0.03692
  -4.9 -0.05407  0.02382  0.03618
  -4.8 -0.05297  0.02382  0.03545
  -4.7 -0.05186  0.02382  0.03471
  -4.6 -0.05076  0.02382  0.03397
  -4.5 -0.04966  0.02382  0.03323
  -4.4 -0.04855  0.02382  0.03249
  -4.3 -0.04745  0.02382  0.03175
  -4.2 -0.04634  0.02382  0.03102
  -4.1 -0.04524  0.02382  0.03028
  -4.0 -0.04414  0.02382  0.02954
  -3.9 -0.04303  0.02382  0.02880
  -3.8 -0.04193  0.02381  0.02806
  -3.7 -0.04083  0.02381  0.02732
  -3.6 -0.03972  0.02381  0.02658
  -3.5 -0.03862  0.02381  0.02585
  -3.4 -0.03752  0.02381  0.02511
  -3.3 -0.03641  0.02381  0.02437
  -3.2 -0.03531  0.02381  0.02363
  -3.1 -0.03421  0.02381  0.02289
  -3.0 -0.03310  0.02381  0.02215
  -2.9 -0.03200  0.02381  0.02142
  -2.8 -0.03090  0.02381  0.02068
  -2.7 -0.02979  0.02381  0.01994
  -2.6 -0.02869  0.02381  0.01920
  -2.5 -0.02759  0.02381  0.01846
  -2.4 -0.02648  0.02381  0.01772
  -2.3 -0.02538  0.02381  0.01698
  -2.2 -0.02428  0.02380  0.01625
  -2.1 -0.02317  0.02380  0.01551
  -2.0 -0.02207  0.02380  0.01477
  -1.9 -0.02097  0.02380  0.01403
  -1.8 -0.01986  0.02380  0.01329
  -1.7 -0.01876  0.02380  0.01255
  -1.6 -0.01766  0.02380  0.01182
  -1.5 -0.01655  0.02380  0.01108
  -1.4 -0.01545  0.02380  0.01034
  -1.3 -0.01434  0.02380  0.00960
  -1.2 -0.01324  0.02380  0.00886
  -1.1 -0.01214  0.02380  0.00812
  -1.0 -0.01103  0.02380  0.00738
  -0.9 -0.00993  0.02380  0.00665
  -0.8 -0.00883  0.02380  0.00591
  -0.7 -0.00772  0.02380  0.00517
  -0.6 -0.00662  0.02380  0.00443
  -0.5 -0.00552  0.02380  0.00369
  -0.4 -0.00441  0.02380  0.00295
  -0.3 -0.00331  0.02380  0.00222
  -0.2 -0.00221  0.02380  0.00148
  -0.1 -0.00110  0.02380  0.00074
   0.0  0.00000  0.02380  0.00000
   0.1  0.00110  0.02380 -0.00074
   0.2  0.00221  0.02380 -0.00148
   0.3  0.00331  0.02380 -0.00222
   0.4  0.00441  0.02380 -0.00295
   0.5  0.00552  0.02380 -0.00369
   0.6  0.00662  0.02380 -0.00443
   0.7  0.00772  0.02380 -0.00517
   0.8  0.00883  0.02380 -0.00591
   0.9  0.00993  0.02380 -0.00665
   1.0  0.01103  0.02380 -0.00738
   1.1  0.01214  0.02380 -0.00812
   1.2  0.01324  0.02380 -0.00886
   1.3  0.01434  0.02380 -0.00960
   1.4  0.01545  0.02380 -0.01034
   1.5  0.01655  0.02380 -0.01108
   1.6  0.01766  0.02380 -0.01182
   1.7  0.01876  0.02380 -0.01255
   1.8  0.01986  0.02380 -0.01329
   1.9  0.02097  0.02380 -0.01403
   2.0  0.02207  0.02380 -0.01477
   2.1  0.02317  0.02380 -0.01551
   2.2  0.02428  0.02380 -0.01625
   2.3  0.02538  0.02381 -0.01698
   2.4  0.02648  0.02381 -0.01772
   2.5  0.02759  0.02381 -0.01846
   2.6  0.02869  0.02381 -0.01920
   2.7  0.02979  0.02381 -0.01994
   2.8  0.03090  0.02381 -0.02068
   2.9  0.03200  0.02381 -0.02142
   3.0  0.03310  0.02381 -0.02215
   3.1  0.03421  0.02381 -0.02289
   3.2  0.03531  0.02381 -0.02363
   3.3  0.03641  0.02381 -0.02437
   3.4  0.03752  0.02381 -0.02511
   3.5  0.03862  0.02381 -0.02585
   3.6  0.03972  0.02381 -0.02658
   3.7  0.04083  0.02381 -0.02732
   3.8  0.04193  0.02381 -0.02806
   3.9  0.04303  0.02382 -0.02880
   4.0  0.04414  0.02382 -0.02954
   4.1  0.04524  0.02382 -0.03028
   4.2  0.04634  0.02382 -0.03102
   4.3  0.04745  0.02382 -0.03175
   4.4  0.04855  0.02382 -0.03249
   4.5  0.04966  0.02382 -0.03323
   4.6  0.05076  0.02382 -0.03397
   4.7  0.05186  0.02382 -0.03471
   4.8  0.05297  0.02382 -0.03545
   4.9  0.05407  0.02382 -0.03618
   5.0  0.05517  0.02383 -0.03692
   5.1  0.05628  0.02383 -0.03766
   5.2  0.05738  0.02383 -0.03840
   5.3  0.05848  0.02383 -0.03914
   5.4  0.05959  0.02383 -0.03988
   5.5  0.06069  0.02383 -0.04062
   5.6  0.06179  0.02383 -0.04135
   5.7  0.06290  0.02383 -0.04209
   5.8  0.06400  0.02383 -0.04283
   5.9  0.06510  0.02383 -0.04357
   6.0  0.06621  0.02384 -0.04431
   6.1  0.06731  0.02384 -0.04505
   6.2  0.06841  0.02384 -0.04578
   6.3  0.06952  0.02384 -0.04652
   6.4  0.07062  0.02384 -0.04726
   6.5  0.07172  0.02384 -0.04800
   6.6  0.07283  0.02384 -0.04839
   6.7  0.07393  0.02384 -0.04877
   6.8  0.07503  0.02385 -0.04916
   6.9  0.07614  0.02385 -0.04954
   7.0  0.07724  0.02385 -0.04993
   7.1  0.07834  0.02385 -0.05031
   7.2  0.07945  0.02385 -0.05070
   7.3  0.08055  0.02385 -0.05108
   7.4  0.08166  0.02385 -0.05147
   7.5  0.08276  0.02386 -0.05185
   7.6  0.08386  0.02386 -0.05224
   7.7  0.08497  0.02386 -0.05262
   7.8  0.08607  0.02386 -0.05301
   7.9  0.08717  0.02386 -0.05339
   8.0  0.08828  0.02386 -0.05378
   8.1  0.08938  0.02387 -0.05416
   8.2  0.09048  0.02387 -0.05455
   8.3  0.09159  0.02387 -0.05493
   8.4  0.09269  0.02387 -0.05532
   8.5  0.09379  0.02387 -0.05570
   8.6  0.09490  0.02387 -0.05609
   8.7  0.09600  0.02388 -0.05647
   8.8  0.09710  0.02388 -0.05686
   8.9  0.09821  0.02388 -0.05724
   9.0  0.09931  0.02388 -0.05763
   9.1  0.10041  0.02388 -0.05801
   9.2  0.10152  0.02388 -0.05840
   9.3  0.10262  0.02389 -0.05879
   9.4  0.10372  0.02389 -0.05917
   9.5  0.10483  0.02389 -0.05956
   9.6  0.10593  0.02389 -0.05994
   9.7  0.10703  0.02389 -0.06033
   9.8  0.10814  0.02390 -0.06071
   9.9  0.10924  0.02390 -0.06110
  10.0  0.11034  0.02390 -0.06148
  10.1  0.11145  0.02390 -0.06187
  10.2  0.11255  0.02390 -0.06225
  10.3  0.11366  0.02391 -0.06264
  10.4  0.11476  0.02391 -0.06302
  10.5  0.11586  0.02391 -0.06341
  10.6  0.11697  0.02391 -0.06379
  10.7  0.11807  0.02391 -0.06418
  10.8  0.11917  0.02392 -0.06456
  10.9  0.12028  0.02392 -0.06495
  11.0  0.12138  0.02392 -0.06533
  11.1  0.12248  0.02392 -0.06572
  11.2  0.12359  0.02393 -0.06610
  11.3  0.12469  0.02393 -0.06649
  11.4  0.12579  0.02393 -0.06687
  11.5  0.12690  0.02393 -0.06726
  11.6  0.12800  0.02393 -0.06764
  11.7  0.12910  0.02394 -0.06803
  11.8  0.13021  0.02394 -0.06841
  11.9  0.13131  0.02394 -0.06880
  12.0  0.13241  0.02394 -0.06919
  12.1  0.13352  0.02395 -0.06957
  12.2  0.13462  0.02395 -0.06996
  12.3  0.13572  0.02395 -0.07034
  12.4  0.13683  0.02395 -0.07073
  12.5  0.13793  0.02396 -0.07111
  12.6  0.13903  0.02396 -0.07150
  12.7  0.14014  0.02396 -0.07188
  12.8  0.14124  0.02396 -0.07227
  12.9  0.14234  0.02397 -0.07265
  13.0  0.14345  0.02397 -0.07304
  13.1  0.14455  0.02397 -0.07342
  13.2  0.14566  0.02397 -0.07381
  13.3  0.14676  0.02398 -0.07419
  13.4  0.14786  0.02398 -0.07458
  13.5  0.14897  0.02398 -0.07496
  13.6  0.15007  0.02398 -0.07535
  13.7  0.15117  0.02399 -0.07573
  13.8  0.15228  0.02399 -0.07612
  13.9  0.15338  0.02399 -0.07650
  14.0  0.15448  0.02400 -0.07689
  14.1  0.15559  0.02400 -0.07727
  14.2  0.15669  0.02400 -0.07766
  14.3  0.15779  0.02400 -0.07804
  14.4  0.15890  0.02401 -0.07843
  14.5  0.16000  0.02401 -0.07881
  14.6  0.15951  0.02506 -0.07920
  14.7  0.15861  0.02612 -0.07959
  14.8  0.15745  0.02720 -0.07997
  14.9  0.15608  0.02829 -0.08036
  15.0  0.15452  0.02940 -0.08074
  15.1  0.15279  0.03052 -0.08113
  15.2  0.15092  0.03165 -0.08151
  15.3  0.14891  0.03280 -0.08190
  15.4  0.14676  0.03396 -0.08228
  15.5  0.14449  0.03514 -0.08267
  15.6  0.14211  0.03633 -0.08305
  15.7  0.13962  0.03753 -0.08344
  15.8  0.13702  0.03875 -0.08382
  15.9  0.13432  0.03998 -0.08421
  16.0  0.13151  0.04123 -0.08459
  16.1  0.12862  0.04249 -0.08498
  16.2  0.12563  0.04376 -0.08536
  16.3  0.12255  0.04505 -0.08575
  16.4  0.11939  0.04635 -0.08613
  16.5  0.11614  0.04767 -0.08652
  16.6  0.11281  0.04900 -0.08690
  16.7  0.10940  0.05034 -0.08729
  16.8  0.10591  0.05170 -0.08767
  16.9  0.10235  0.05307 -0.08806
  17.0  0.09871  0.05446 -0.08844
  17.1  0.09500  0.05585 -0.08883
  17.2  0.09121  0.05727 -0.08921
  17.3  0.08735  0.05869 -0.08960
  17.4  0.08343  0.06013 -0.08999
  17.5  0.07943  0.06159 -0.09037
  17.6  0.07537  0.06306 -0.09076
  17.7  0.07124  0.06454 -0.09114
  17.8  0.06705  0.06603 -0.09153
  17.9  0.06279  0.06754 -0.09191
  18.0  0.05847  0.06906 -0.09230
  18.1  0.05409  0.07060 -0.09268
  18.2  0.04965  0.07215 -0.09307
  18.3  0.04514  0.07372 -0.09345
  18.4  0.04058  0.07529 -0.09384
  18.5  0.03596  0.07688 -0.09422
  18.6  0.03128  0.07849 -0.09461
  18.7  0.02654  0.08011 -0.09499
  18.8  0.02174  0.08174 -0.09538
  18.9  0.01689  0.08339 -0.09576
  19.0  0.01199  0.08505 -0.09615
  19.1  0.00702  0.08672 -0.09653
  19.2  0.00201  0.08840 -0.09692
  19.3 -0.00306  0.09010 -0.09730
  19.4 -0.00818  0.09182 -0.09769
  19.5 -0.01336  0.09354 -0.09807
  19.6 -0.01858  0.09529 -0.09846
  19.7 -0.02386  0.09704 -0.09884
  19.8 -0.02919  0.09881 -0.09923
  19.9 -0.03457  0.10059 -0.09961
  20.0 -0.04000  0.10238 -0.10000
  21.0  0.03598  0.12106 -0.10047
  22.0  0.11165  0.14107 -0.10221
  23.0  0.18673  0.16238 -0.10523
  24.0  0.26091  0.18499 -0.10949
  25.0  0.33391  0.20888 -0.11495
  26.0  0.40543  0.23402 -0.12158
  27.0  0.47519  0.26039 -0.12933
  28.0  0.54292  0.28799 -0.13812
  29.0  0.60835  0.31678 -0.14790
  30.0  0.67122  0.34675 -0.15858
  31.0  0.73128  0.37786 -0.17009
  32.0  0.78830  0.41011 -0.18234
  33.0  0.84205  0.44346 -0.19524
  34.0  0.89232  0.47789 -0.20871
  35.0  0.93891  0.51337 -0.22265
  36.0  0.98164  0.54988 -0.23697
  37.0  1.02033  0.58739 -0.25158
  38.0  1.05484  0.62588 -0.26639
  39.0  1.08503  0.66531 -0.28133
  40.0  1.11078  0.70566 -0.29631
  41.0  1.13199  0.74690 -0.31125
  42.0  1.14857  0.78900 -0.32610
  43.0  1.16046  0.83192 -0.34078
  44.0  1.16761  0.87564 -0.35526
  45.0  1.17000  0.92012 -0.36948
  46.0  1.16929  0.93552 -0.37130
  47.0  1.16715  0.95063 -0.37281
  48.0  1.16359  0.96544 -0.37401
  49.0  1.15861  0.97997 -0.37493
  50.0  1.15223  0.99420 -0.37556
  51.0  1.14443  1.00812 -0.37592
  52.0  1.13525  1.02174 -0.37602
  53.0  1.12468  1.03504 -0.37587
  54.0  1.11274  1.04803 -0.37548
  55.0  1.09944  1.06070 -0.37487
  56.0  1.08481  1.07305 -0.37405
  57.0  1.06885  1.08507 -0.37304
  58.0  1.05159  1.09676 -0.37184
  59.0  1.03305  1.10812 -0.37048
  60.0  1.01325  1.11914 -0.36896
  61.0  0.99222  1.12982 -0.36730
  62.0  0.96997  1.14015 -0.36552
  63.0  0.94655  1.15014 -0.36363
  64.0  0.92197  1.15977 -0.36164
  65.0  0.89627  1.16905 -0.35958
  66.0  0.86948  1.17798 -0.35745
  67.0  0.84163  1.18655 -0.35527
  68.0  0.81275  1.19476 -0.35305
  69.0  0.78288  1.20260 -0.35082
  70.0  0.75206  1.21007 -0.34858
  71.0  0.72032  1.21718 -0.34635
  72.0  0.68771  1.22392 -0.34413
  73.0  0.65426  1.23028 -0.34195
  74.0  0.62001  1.23627 -0.33982
  75.0  0.58500  1.24189 -0.33774
  76.0  0.54928  1.24712 -0.33574
  77.0  0.51289  1.25197 -0.33382
  78.0  0.47588  1.25645 -0.33198
  79.0  0.43829  1.26054 -0.33025
  80.0  0.40016  1.26424 -0.32863
  81.0  0.36155  1.26757 -0.32713
  82.0  0.32250  1.27050 -0.32575
  83.0  0.28305  1.27305 -0.32451
  84.0  0.24326  1.27521 -0.32341
  85.0  0.20317  1.27698 -0.32246
  86.0  0.16283  1.27836 -0.32165
  87.0  0.12230  1.27936 -0.32100
  88.0  0.08161  1.27996 -0.32051
  89.0  0.04083  1.28018 -0.32017
  90.0 -0.00000  1.28000 -0.32000
  91.0 -0.04083  1.28018 -0.32017
  92.0 -0.08162  1.27996 -0.32051
  93.0 -0.12230  1.27936 -0.32100
  94.0 -0.16283  1.27836 -0.32165
  95.0 -0.20317  1.27698 -0.32246
  96.0 -0.24326  1.27521 -0.32341
  97.0 -0.28305  1.27305 -0.32451
  98.0 -0.32250  1.27050 -0.32575
  99.0 -0.36155  1.26757 -0.32713
 100.0 -0.40016  1.26424 -0.32863
 101.0 -0.43829  1.26054 -0.33025
 102.0 -0.47588  1.25645 -0.33198
 103.0 -0.51289  1.25197 -0.33382
 104.0 -0.54928  1.24712 -0.33574
 105.0 -0.58500  1.24188 -0.33774
 106.0 -0.62001  1.23627 -0.33982
 107.0 -0.65426  1.23028 -0.34195
 108.0 -0.68771  1.22392 -0.34413
 109.0 -0.72032  1.21718 -0.34635
 110.0 -0.75206  1.21007 -0.34858
 111.0 -0.78288  1.20260 -0.35082
 112.0 -0.81275  1.19476 -0.35306
 113.0 -0.84163  1.18655 -0.35527
 114.0 -0.86948  1.17798 -0.35745
